Date,Hour,Forex,Evenement,Actuel,Forecast,Previous
2021-04-01,10:55:00,EUR,PMI manufacturier Allemagne (Déc),"58,3",58.6,58.6
2021-04-01,11:30:00,GBP,PMI manufacturier (Déc),"57,5",57.3,55.6
2021-05-01,10:55:00,EUR,Evolution du nombre de chômeurs Allemagne (Déc),-37K,10K,-40K
2021-05-01,17:00:00,USD,Indice PMI manufacturier de l'ISM (Déc),"60,7",56.6,57.5
2021-06-01,11:30:00,GBP,PMI Composite (Déc),"50,4",50.7,49
2021-06-01,11:30:00,GBP,PMI services (Déc),"49,4",49.9,47.6
2021-06-01,15:15:00,USD,Créations d'emplois non agricoles ADP (Déc),-123K,88K,304K
2021-07-01,11:30:00,GBP,PMI construction (Déc),"54,6",55,54.7
2021-07-01,12:00:00,EUR,IPC (Annuel) (Déc)  ,"-0,3%",-0.002,-0.003
2021-07-01,15:30:00,USD,Inscriptions hebdomadaires au chômage,787K,800K,790K
2021-07-01,17:00:00,USD,Indice PMI non manufacturier de l'ISM (Déc),"57,2",54.6,55.9
2021-08-01,15:30:00,USD,Créations d'emplois dans le secteur non agricole (Déc),-140K,71K,336K
2021-08-01,15:30:00,USD,Taux de chômage (Déc),"6,7%",0.068,0.067
2021-01-13,15:30:00,USD,IPC core (Mensuel) (Déc),"0,1%",0.001,0.002
2021-01-14,15:30:00,USD,Inscriptions hebdomadaires au chômage,965K,795K,784K
2021-01-15,09:00:00,GBP,Production manufacturière (Mensuel) (Nov.),"0,7%",0.009,0.016
2021-01-15,15:30:00,USD,Ventes au détail principales (Mensuel) (Déc),"-1,4%",-0.001,-0.013
2021-01-15,15:30:00,USD,Prix à la production (Mensuel) (Déc),"0,3%",0.004,0.001
2021-01-15,15:30:00,USD,Ventes au détail (Mensuel) (Déc),"-0,7%",-0.002,-0.014
2021-01-19,12:00:00,EUR,Indice ZEW - Sentiment économique Allemagne (Jan.),"61,8",60,55
2021-01-20,09:00:00,GBP,IPC (Annuel) (Déc),"0,6%",0.005,0.003
2021-01-20,12:00:00,EUR,IPC (Annuel) (Déc),"-0,3%",-0.003,-0.003
2021-01-21,14:45:00,EUR,Taux de facilité de dépôt (Jan.),"-0,50%",-0.005,-0.005
2021-01-21,14:45:00,EUR,Décision de la BCE sur les taux d'intérêt (Jan.),"0,00%",0,0
2021-01-21,15:30:00,USD,Permis de construire (Déc),"1,709M",1.604M,1.635M
2021-01-21,15:30:00,USD,Inscriptions hebdomadaires au chômage,900K,910K,926K
2021-01-21,15:30:00,USD,Indice manufacturier Fed de Philadelphie (Jan.),"26,5",12,9.1
2021-01-22,09:00:00,GBP,Ventes au détail (Mensuel) (Déc),"0,3%",0.012,-0.041
2021-01-22,10:30:00,EUR,PMI manufacturier Allemagne (Jan.)  ,"57,0",57.5,58.3
2021-01-22,11:30:00,GBP,PMI Composite (Jan.)  ,"40,6",50.7,50.4
2021-01-22,11:30:00,GBP,PMI manufacturier (Jan.)  ,"52,9",57.3,57.5
2021-01-22,11:30:00,GBP,PMI services (Jan.)  ,"38,8",49.9,49.4
2021-01-22,17:00:00,USD,Ventes de logements existants (Déc),"6,76M",6.55M,6.71M
2021-01-25,11:00:00,EUR,IFO climat des affaires Allemagne (Jan.),"90,1",91.8,92.2
2021-01-26,09:00:00,GBP,Salaire moyen bonus compris (Nov.),"3,6%",0.029,0.028
2021-01-26,09:00:00,GBP,Evolution du nombre de demandeurs d'emploi (Déc),"7,0K",35.0K,38.1K
2021-01-26,17:00:00,USD,Confiance des consommateurs - Conference Board (Jan.),"89,3",89,87.1
2021-01-27,15:30:00,USD,Commandes de biens durables - core (Mensuel) (Déc),"0,7%",0.005,0.008
2021-01-27,21:00:00,USD,Décision de la FED sur les taux d'intérêt,"0,25%",0.0025,0.0025
2021-01-28,15:30:00,USD,PIB (Trimestriel) (T4)  ,"4,0%",0.04,0.334
2021-01-28,15:30:00,USD,Inscriptions hebdomadaires au chômage,847K,875K,914K
2021-01-28,17:00:00,USD,Ventes de logements neufs (Déc),842K,865K,829K
2021-01-29,10:55:00,EUR,Evolution du nombre de chômeurs Allemagne (Jan.),-41K,6K,-40K
2021-01-29,15:30:00,USD,PCE core - Indice des prix à la consommation des ménages (Mensuel) (Déc),"0,3%",0.001,
2021-01-29,17:00:00,USD,Promesses de ventes de logements (Mensuel) (Déc),"-0,3%",-0.001,-0.025
2021-01-02,10:55:00,EUR,PMI manufacturier Allemagne (Jan.),"57,1",57,58.3
2021-01-02,11:30:00,GBP,PMI manufacturier (Jan.),"54,1",52.9,52.9
2021-01-02,17:00:00,USD,Indice PMI manufacturier de l'ISM (Jan.),"58,7",60,60.5
2021-03-02,11:30:00,GBP,PMI Composite (Jan.),"41,2",40.6,40.6
2021-03-02,11:30:00,GBP,PMI services (Jan.),"39,5",38.8,38.8
2021-03-02,12:00:00,EUR,IPC (Annuel) (Jan.)  ,"0,9%",0.005,-0.003
2021-03-02,15:15:00,USD,Créations d'emplois non agricoles ADP (Jan.),174K,49K,-78K
2021-03-02,17:00:00,USD,Indice PMI non manufacturier de l'ISM (Jan.),"58,7",56.8,57.7
2021-04-02,11:30:00,GBP,PMI construction (Jan.),"49,2",52.9,54.6
2021-04-02,14:00:00,GBP,Décision de la BoE sur les taux d'intérêt (Févr.),"0,10%",0.001,0.001
2021-04-02,15:30:00,USD,Inscriptions hebdomadaires au chômage,779K,830K,812K
2021-05-02,15:30:00,USD,Créations d'emplois dans le secteur non agricole (Jan.),49K,50K,-227K
2021-05-02,15:30:00,USD,Taux de chômage (Jan.),"6,3%",0.067,0.067
2021-09-02,17:00:00,USD,Rapport JOLTS - Nouvelles offres d'emploi (Déc),"6,646M",6.500M,6.572M
2021-10-02,15:30:00,USD,IPC core (Mensuel) (Jan.),"0,0%",0.002,0.001
2021-11-02,15:30:00,USD,Inscriptions hebdomadaires au chômage,793K,757K,812K
2021-12-02,09:00:00,GBP,PIB (Trimestriel) (T4)  ,"1,0%",0.005,0.161
2021-12-02,09:00:00,GBP,PIB (Annuel) (T4)  ,"-7,8%",-0.081,-0.087
2021-12-02,09:00:00,GBP,Production manufacturière (Mensuel) (Déc),"0,3%",0.006,0.011
2021-02-16,12:00:00,EUR,Indice ZEW - Sentiment économique Allemagne (Févr.),"71,2",59.6,61.8
2021-02-17,09:00:00,GBP,IPC (Annuel) (Jan.),"0,7%",0.006,0.006
2021-02-17,15:30:00,USD,Ventes au détail principales (Mensuel) (Jan.),"5,9%",0.01,-0.018
2021-02-17,15:30:00,USD,Prix à la production (Mensuel) (Jan.),"1,3%",0.004,0.003
2021-02-17,15:30:00,USD,Ventes au détail (Mensuel) (Jan.),"5,3%",0.011,-0.01
2021-02-18,15:30:00,USD,Permis de construire (Jan.),"1,881M",1.678M,1.704M
2021-02-18,15:30:00,USD,Inscriptions hebdomadaires au chômage,861K,765K,848K
2021-02-18,15:30:00,USD,Indice manufacturier Fed de Philadelphie (Févr.),"23,1",20,26.5
2021-02-19,09:00:00,GBP,Ventes au détail (Mensuel) (Jan.),"-8,2%",-0.025,0.004
2021-02-19,10:30:00,EUR,PMI manufacturier Allemagne (Févr.)  ,"60,6",56.5,57.1
2021-02-19,11:30:00,GBP,PMI Composite  ,"49,8",42.2,41.2
2021-02-19,11:30:00,GBP,PMI manufacturier  ,"54,9",53.2,54.1
2021-02-19,11:30:00,GBP,PMI services  ,"49,7",41,39.5
2021-02-19,17:00:00,USD,Ventes de logements existants (Jan.),"6,69M",6.61M,6.65M
2021-02-22,11:00:00,EUR,IFO climat des affaires Allemagne (Févr.),"92,4",90.5,90.3
2021-02-23,09:00:00,GBP,Salaire moyen bonus compris (Déc),"4,7%",0.041,0.037
2021-02-23,09:00:00,GBP,Evolution du nombre de demandeurs d'emploi (Jan.),"-20,0K",35.0K,-20.4K
2021-02-23,12:00:00,EUR,IPC (Annuel) (Jan.),"0,9%",0.009,-0.003
2021-02-23,17:00:00,USD,Confiance des consommateurs - Conference Board (Févr.),"91,3",90,88.9
2021-02-24,09:00:00,EUR,PIB Allemagne (Trimestriel) (T4),"0,3%",0.001,0.085
2021-02-24,17:00:00,USD,Ventes de logements neufs (Jan.),923K,855K,885K
2021-02-25,15:30:00,USD,Commandes de biens durables - core (Mensuel) (Jan.),"1,4%",0.007,0.017
2021-02-25,15:30:00,USD,PIB (Trimestriel) (T4)  ,"4,1%",0.042,0.04
2021-02-25,15:30:00,USD,Inscriptions hebdomadaires au chômage,730K,838K,841K
2021-02-25,17:00:00,USD,Promesses de ventes de logements (Mensuel) (Jan.),"-2,8%",-0.002,0.005
2021-02-26,15:30:00,USD,PCE core - Indice des prix à la consommation des ménages (Mensuel) (Jan.),"0,3%",0.002,0.003
2021-01-03,10:55:00,EUR,PMI manufacturier Allemagne (Févr.),"60,7",60.6,57.1
2021-01-03,11:30:00,GBP,PMI manufacturier (Févr.),"55,1",54.9,54.1
2021-01-03,17:00:00,USD,Indice PMI manufacturier de l'ISM (Févr.),"60,8",58.8,58.7
2021-02-03,10:55:00,EUR,Evolution du nombre de chômeurs Allemagne (Févr.),9K,-13K,-37K
2021-02-03,12:00:00,EUR,IPC (Annuel) (Févr.)  ,"0,9%",0.009,0.009
2021-03-03,11:30:00,GBP,PMI Composite (Févr.),"49,6",49.8,41.2
2021-03-03,11:30:00,GBP,PMI services (Févr.),"49,5",49.7,39.5
2021-03-03,15:15:00,USD,Créations d'emplois non agricoles ADP (Févr.),117K,177K,195K
2021-03-03,17:00:00,USD,Indice PMI non manufacturier de l'ISM (Févr.),"55,3",58.7,58.7
