Date;Hour;Forex;Event;Actuel;Forecast;Previous
27/02/2008;15:30:00;USD;Commandes de biens durables;-0.016;-0.014;0.023
26/03/2008;14:30:00;USD;Commandes de biens durables;-0.026;-0.003;-0.016
24/04/2008;14:30:00;USD;Commandes de biens durables;0.015;0.002;-0.024
28/05/2008;15:30:00;USD;Commandes de biens durables;0.025;-0.004;0.009
25/06/2008;14:30:00;USD;Commandes de biens durables;-0.009;-0.009;0.024
25/07/2008;14:30:00;USD;Commandes de biens durables;0.02;-0.002;-0.009
27/08/2008;14:30:00;USD;Commandes de biens durables;0.007;-0.005;0.02
25/09/2008;14:30:00;USD;Commandes de biens durables;-0.03;-0.005;0.007
29/10/2008;14:30:00;USD;Commandes de biens durables;-0.011;-0.015;-0.033
26/11/2008;15:30:00;USD;Commandes de biens durables;-0.044;-0.014;-0.01
24/12/2008;15:30:00;USD;Commandes de biens durables;0.012;-0.03;-0.054
29/01/2009;15:30:00;USD;Commandes de biens durables;-0.036;-0.026;-0.017
26/02/2009;15:30:00;USD;Commandes de biens durables;-0.025;-0.021;-0.055
25/03/2009;14:30:00;USD;Commandes de biens durables;0.039;-0.02;-0.059
24/04/2009;14:30:00;USD;Commandes de biens durables;-0.006;-0.011;0.02
28/05/2009;14:30:00;USD;Commandes de biens durables;0.008;-0.003;-0.027
24/06/2009;14:30:00;USD;Commandes de biens durables;0.011;-0.003;0.004
29/07/2009;14:30:00;USD;Commandes de biens durables;0.011;-0.001;0.008
26/08/2009;14:30:00;USD;Commandes de biens durables;0.008;0.011;0.025
25/09/2009;14:30:00;USD;Commandes de biens durables;0;0.009;0.011
28/10/2009;14:30:00;USD;Commandes de biens durables;0.009;0.006;-0.004
25/11/2009;15:30:00;USD;Commandes de biens durables;-0.013;0.008;0.018
24/12/2009;15:30:00;USD;Commandes de biens durables;0.02;0.01;-0.007
28/01/2010;15:30:00;USD;Commandes de biens durables;0.009;0.004;0.021
25/02/2010;15:30:00;USD;Commandes de biens durables;-0.006;0.012;0.02
24/03/2010;14:30:00;USD;Commandes de biens durables;0.009;0.005;-0.006
23/04/2010;14:30:00;USD;Commandes de biens durables;0.028;0.007;0.017
26/05/2010;14:30:00;USD;Commandes de biens durables;-0.01;0.005;0.048
24/06/2010;14:30:00;USD;Commandes de biens durables;0.009;0.011;-0.008
28/07/2010;14:30:00;USD;Commandes de biens durables;-0.006;0.006;0.012
25/08/2010;14:30:00;USD;Commandes de biens durables;-0.038;0.005;0.002
